id,pop,group
AFG,126,0
AHO,79,0
ALB,70,0
ALG,551,0
AND,169,0
ANG,267,0
ANT,133,0
ANZ,86,0
ARG,3297,0
ARM,221,0
ARU,42,0
ASA,37,0
AUS,7638,0
AUT,5141,0
AZE,283,0
BAH,374,0
BAN,55,0
BAR,219,0
BDI,39,0
BEL,3857,0
BEN,71,0
BER,212,0
BHU,36,0
BIH,134,0
BIZ,76,0
BLR,1787,0
BOH,153,0
BOL,152,0
BOT,90,0
BRA,3848,0
BRN,126,0
BRU,10,0
BUL,3530,0
BUR,44,0
CAF,67,0
CAM,63,0
CAN,9733,0
CAY,83,0
CGO,105,0
CHA,41,0
CHI,925,0
CHN,5141,0
CIV,193,0
CMR,312,0
COD,93,0
COK,40,0
COL,1069,0
COM,19,0
CPV,18,0
CRC,264,0
CRO,876,0
CRT,11,0
CUB,2479,0
CYP,225,0
CZE,1874,0
DEN,3570,0
DJI,38,0
DMA,19,0
DOM,277,0
ECU,277,0
EGY,1622,0
ERI,43,0
ESA,218,0
ESP,5313,0
EST,876,0
ETH,378,0
EUN,864,0
FIJ,232,0
FIN,5467,0
FRA,12758,0
FRG,3315,0
FSM,26,0
GAB,63,0
GAM,56,0
GBR,12256,0
GBS,21,0
GDR,2645,0
GEO,286,0
GEQ,40,0
GER,9830,0
GHA,359,0
GRE,3181,0
GRN,54,0
GUA,425,0
GUI,73,0
GUM,112,0
GUY,102,0
HAI,106,0
HKG,685,0
HON,189,0
HUN,6607,0
INA,412,0
IND,1408,0
IOA,94,0
IRI,789,0
IRL,1325,0
IRQ,232,0
ISL,627,0
ISR,665,0
ISV,294,0
ITA,10715,0
IVB,45,0
JAM,848,0
JOR,80,0
JPN,8444,0
KAZ,1429,0
KEN,772,0
KGZ,227,0
KIR,11,0
KOR,4464,0
KOS,8,0
KSA,230,0
KUW,284,0
LAO,54,0
LAT,951,0
LBA,84,0
LBR,74,0
LCA,28,0
LES,66,0
LIB,329,0
LIE,369,0
LTU,654,0
LUX,996,0
MAD,119,0
MAL,45,0
MAR,682,0
MAS,530,0
MAW,87,0
MDA,234,0
MDV,49,0
MEX,2880,0
MGL,550,0
MHL,14,0
MKD,84,0
MLI,92,0
MLT,118,0
MNE,94,0
MON,197,0
MOZ,78,0
MRI,144,0
MTN,29,0
MYA,111,0
NAM,77,0
NBO,2,0
NCA,129,0
NED,5839,0
NEP,94,0
NFL,1,0
NGR,882,0
NIG,47,0
NOR,4960,0
NRU,13,0
NZL,2342,0
OMA,66,0
PAK,562,0
PAN,139,0
PAR,135,0
PER,532,0
PHI,694,0
PLE,21,0
PLW,25,0
PNG,108,0
POL,6207,0
POR,1522,0
PRK,807,0
PUR,927,0
QAT,192,0
RHO,12,0
ROT,12,0
ROU,4405,0
RSA,1711,0
RUS,5143,0
RWA,56,0
SAA,93,0
SAM,63,0
SCG,321,0
SEN,393,0
SEY,111,0
SGP,349,0
SKN,42,0
SLE,114,0
SLO,1111,0
SMR,181,0
SOL,27,0
SOM,32,0
SRB,392,0
SRI,146,0
SSD,3,0
STP,15,0
SUD,107,0
SUI,6150,0
SUR,69,0
SVK,1055,0
SWE,8339,0
SWZ,67,0
SYR,156,0
TAN,161,0
TCH,4404,0
TGA,46,0
THA,747,0
TJK,70,0
TKM,54,0
TLS,9,0
TOG,59,0
TPE,1097,0
TTO,375,0
TUN,561,0
TUR,1356,0
TUV,7,0
UAE,144,0
UAR,123,0
UGA,260,0
UKR,2559,0
UNK,2,0
URS,5685,0
URU,576,0
USA,18853,0
UZB,495,0
VAN,35,0
VEN,925,0
VIE,154,0
VIN,42,0
VNM,62,0
WIF,20,0
YAR,11,0
YEM,32,0
YMD,5,0
YUG,2583,0
ZAM,183,0
ZIM,311,0
Aeronautics,1,1
Archery,2334,1
Art_Competitions,3578,1
Athletics,38624,1
Badminton,1457,1
Baseball,894,1
Basketball,4536,1
Basque_Pelota,2,1
Beach_Volleyball,564,1
Boxing,6047,1
Canoeing,6171,1
Cricket,24,1
Croquet,19,1
Cycling,10859,1
Diving,2842,1
Equestrianism,6344,1
Fencing,10735,1
Football,6745,1
Golf,247,1
Gymnastics,26707,1
Handball,3665,1
Hockey,5417,1
Ice_Hockey,5516,1
Jeu_De_Paume,11,1
Judo,3801,1
Lacrosse,60,1
Modern_Pentathlon,1677,1
Motorboating,17,1
Polo,95,1
Racquets,12,1
Rhythmic_Gymnastics,658,1
Roque,4,1
Rowing,10595,1
Rugby,162,1
Rugby_Sevens,299,1
Sailing,6586,1
Shooting,11448,1
Softball,478,1
Swimming,23195,1
Synchronized_Swimming,909,1
Table_Tennis,1955,1
Taekwondo,606,1
Tennis,2862,1
Trampolining,152,1
Triathlon,529,1
Tug-Of-War,170,1
Volleyball,3404,1
Water_Polo,3846,1
Weightlifting,3937,1
Wrestling,7154,1
Alpine_Skiing,8829,2
Alpinism,25,2
Biathlon,4893,2
Bobsleigh,3058,2
Cross_Country_Skiing,9133,2
Curling,463,2
Figure_Skating,2298,2
Freestyle_Skiing,937,2
Luge,1479,2
Military_Ski_Patrol,24,2
Nordic_Combined,1344,2
Short_Track_Speed_Skating,1534,2
Skeleton,199,2
Ski_Jumping,2401,2
Snowboarding,936,2
Speed_Skating,5613,2
